Time,U1E,U2E,U3E,U0E,U12,U23,U31,U12H2,U23H2,U31H2,U12H4,U23H4,U31H4,U12H6,U23H6,U31H6,U12H8
5/25/2018 19:59,243618,243557,242516,3784.91,420851,420648,422209,0.00901947,0.0104198,0.00839823,0.00780335,0.00753353,0.0112461,0.00687239,0.00673992,0.00627238,0.0112836
5/25/2018 20:09,243520,243525,242462,3792.26,420753,420561,422075,0.00708641,0.00802394,0.00599479,0.00726379,0.00621457,0.00672783,0.00618631,0.00616607,0.00532372,0.0128972
5/25/2018 20:19,243531,243498,242471,3789.78,420724,420553,422101,0.00641499,0.00820523,0.00767762,0.00884563,0.00696159,0.00793307,0.00709854,0.00556768,0.00642201,0.0152996
5/25/2018 20:29,243709,243700,242658,3799.81,421053,420889,422419,0.0097301,0.0110492,0.00941611,0.00689,0.00609842,0.00677628,0.00743833,0.00625151,0.00645604,0.0147953
5/25/2018 20:39,243633,243692,242601,3801.29,420984,420839,422293,0.00947062,0.0114514,0.00900586,0.00665902,0.00723723,0.00720457,0.0068527,0.00638775,0.00679966,0.0134745
5/25/2018 20:49,243742,243817,242729,3792.9,421183,421066,422494,0.0108774,0.0121935,0.0102436,0.00820146,0.010216,0.0100443,0.0069063,0.00604605,0.0059446,0.0114716
5/25/2018 20:59,243645,243712,242640,3795.77,421005,420897,422337,0.00872199,0.011353,0.00832212,0.00968282,0.0115092,0.00984112,0.00618359,0.00601364,0.00603085,0.0135404
5/25/2018 21:09,243204,243040,242079,3770.77,420064,419783,421494,0.00718287,0.0112483,0.00854442,0.0104478,0.0109858,0.0104308,0.00636529,0.00831548,0.00586026,0.0116227
5/25/2018 21:19,242975,242720,241815,3756.44,419596,419242,421095,0.00802773,0.0108027,0.00744592,0.00801541,0.00961671,0.00940714,0.00555893,0.00541984,0.00462531,0.0148345
5/25/2018 21:29,242941,242724,241802,3763.8,419548,419234,421078,0.0089632,0.0113688,0.0093368,0.0054911,0.00789164,0.007029,0.00525722,0.00528568,0.00488108,0.0128888
5/25/2018 21:39,243131,242978,242040,3763.57,419911,419671,421459,0.00749727,0.0105379,0.00849072,0.00614723,0.00851156,0.00675912,0.00645873,0.00624716,0.00515997,0.0154739
5/25/2018 21:49,243431,243361,242372,3774.21,420501,420298,421998,0.00957276,0.0118354,0.00996227,0.00761984,0.0104022,0.00881387,0.00558559,0.00590829,0.00516871,0.0137263
5/25/2018 21:59,243671,243702,242644,3778.95,421007,420841,422426,0.00857126,0.0109397,0.00825358,0.00616514,0.00950873,0.00758348,0.00598456,0.00635213,0.00523684,0.0131942
5/25/2018 22:09,243094,242919,241952,3758.86,419841,419544,421336,0.00948756,0.0116197,0.00923391,0.0096055,0.0120977,0.0105605,0.00696271,0.00631484,0.0058223,0.0123232
5/25/2018 22:19,243308,243192,242187,3774.29,420255,419993,421723,0.0102573,0.0118764,0.00963,0.00963267,0.0116042,0.0108649,0.00660334,0.00657659,0.00544525,0.011955
5/25/2018 22:29,243355,243322,242268,3774.95,420406,420192,421820,0.00870607,0.0103937,0.00856083,0.00621958,0.00861246,0.00805061,0.00602195,0.00635794,0.00466821,0.0121012
5/25/2018 22:39,242232,242310,241224,3765.51,418508,418464,419941,0.00911281,0.0112428,0.0087177,0.00852936,0.010423,0.00973649,0.00611248,0.00640195,0.00683378,0.0112682
5/25/2018 22:49,242056,242210,241124,3761.6,418242,418331,419688,0.00744577,0.0104164,0.00840092,0.00810683,0.0108229,0.00921466,0.00577063,0.005921,0.00505517,0.00986283
5/25/2018 22:59,242340,242512,241413,3764.15,418740,418862,420174,0.00792645,0.010794,0.00880935,0.00723757,0.00966355,0.00712151,0.00569161,0.00586361,0.00466157,0.00991369
5/25/2018 23:09,242407,242602,241471,3755.96,418877,419010,420264,0.00737627,0.0104077,0.0078331,0.0087943,0.0115693,0.00900969,0.006829,0.00748239,0.00789273,0.0154581
5/25/2018 23:19,241885,242157,240969,3755.13,418017,418204,419385,0.0111287,0.0124554,0.0110574,0.00646487,0.00904122,0.00893758,0.00646178,0.0061443,0.00629694,0.0127469
5/25/2018 23:29,242203,242495,241293,3774.86,418573,418779,419949,0.00882331,0.0109389,0.00836538,0.00552602,0.00897811,0.00722894,0.0051434,0.00526354,0.00412889,0.00994306
5/25/2018 23:39,241740,242147,240878,3758.83,417881,418129,419170,0.00948778,0.0115181,0.00883478,0.00659902,0.00968722,0.00966749,0.00633311,0.00564188,0.00622337,0.0091625
5/25/2018 23:49,241976,242415,241159,3758.57,418298,418617,419623,0.00982243,0.0119764,0.00994854,0.00585901,0.00893009,0.00848154,0.006034,0.00554676,0.00512392,0.00863323
5/25/2018 23:59,242112,242562,241292,3762.2,418555,418858,419849,0.00850407,0.00993859,0.00763242,0.0065144,0.00955194,0.00969459,0.00543966,0.00618366,0.00454734,0.010541
5/26/2018 0:09,241846,242312,241029,3721.51,418124,418422,419368,0.00818299,0.0105395,0.00775351,0.00895149,0.0121141,0.0121401,0.00518653,0.00602016,0.00540427,0.0134447
